"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Makalata obscura","Makalata obscura","Loncheres obscura","Mammalia","Rodentia","Echimyidae","faunabr",NA
"Malacoptila minor","Malacoptila minor",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Malacoptila rufa","Malacoptila rufa",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Marmosa constantiae","Micoureus constantiae","Marmosa constantiae","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosa demerarae","Micoureus demerarae","Marmosa cinerea","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosa limae","Marmosa limae",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosa murina","Marmosa murina","Didelphis murina","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosa paraguayana","Micoureus paraguayanus","Marmosa paraguayana","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosa rapposa","Micoureus regina","Marmosa regina","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosops bishopi","Marmosops bishopi",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosops incanus","Marmosops incanus",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosops ocellatus","Marmosops ocellatus","Marmosa ocellata","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosops paulensis","Marmosops paulensis",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Marmosops woodalli","Marmosops woodalli",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Mastigodryas bifossatus","Palusophis bifossatus","Coluber bifossatus","Reptilia","Squamata","Colubridae","faunabr",NA
"Mastigodryas boddaerti","Mastigodryas boddaerti","Coluber boddaerti","Reptilia","Squamata","Colubridae","faunabr",NA
"Megascops alagoensis","Megascops alagoensis",NA,"Aves","Strigiformes","Strigidae","faunabr",NA
"Megascops ater","Megascops ater",NA,"Aves","Strigiformes","Strigidae","faunabr",NA
"Megaxenops parnáguae","Megaxenops parnaguae",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Melanerpes cactorum","Melanerpes cactorum",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Melanophryniscus admirabilis","Melanophryniscus admirabilis",NA,"Amphibia","Anura","Bufonidae","faunabr",NA
"Melanophryniscus klappenbachi","Melanophryniscus klappenbachi",NA,"Amphibia","Anura","Bufonidae","faunabr",NA
"Melanophryniscus milanoi","Melanophryniscus milanoi",NA,"Amphibia","Anura","Bufonidae","faunabr",NA
"Melanophryniscus xanthostomus","Melanophryniscus xanthostomus",NA,"Amphibia","Anura","Bufonidae","faunabr",NA
"Melanosuchus niger","Melanosuchus niger","Caiman niger","Reptilia","Crocodylia","Alligatoridae","faunabr",NA
"Merulaxis stresemanni","Merulaxis stresemanni",NA,"Aves","Passeriformes","Rhinocryptidae","faunabr",NA
"Mesophylla macconnelli","Mesophylla macconnelli",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Mico melanurus","Mico melanurus",NA,"Mammalia","Primates","Cebidae","faunabr",NA
"Micrastur mintoni","Micrastur mintoni",NA,"Aves","Falconiformes","Falconidae","faunabr",NA
"Micrastur mirandollei","Micrastur mirandollei","Astur mirandollei","Aves","Falconiformes","Falconidae","faunabr",NA
"Microcerculus marginatus","Microcerculus marginatus",NA,"Aves","Passeriformes","Troglodytidae","faunabr",NA
"Micropygia schomburgkii","Micropygia schomburgkii",NA,"Aves","Gruiformes","Rallidae","faunabr",NA
"Microspingus cinereus","Microspingus cinereus","Poospiza cinerea","Aves","Passeriformes","Thraupidae","faunabr",NA
"Microspingus lateralis","Microspingus lateralis","Fringilla lateralis","Aves","Passeriformes","Thraupidae","faunabr",NA
"Microspingus melanoleucus","Microspingus melanoleucus","Emberiza melanoleuca","Aves","Passeriformes","Thraupidae","faunabr",NA
"Micrurus brasiliensis","Micrurus brasiliensis",NA,"Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus filiformis","Micrurus filiformis","Elaps filiformis","Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus hemprichii","Micrurus hemprichii","Elaps hemprichii","Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus ibiboboca","Micrurus ibiboboca","Elaps ibiboboca","Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus paraensis","Micrurus paraensis",NA,"Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus potyguara","Micrurus potyguara",NA,"Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus pyrrhocryptus","Micrurus pyrrhocryptus","Elaps pyrrhocryptus","Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus silviae","Micrurus silviae",NA,"Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus spixii","Micrurus spixii",NA,"Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus surinamensis","Micrurus surinamensis","Elaps surinamensis","Reptilia","Squamata","Elapidae","faunabr",NA
"Micrurus tricolor","Micrurus tricolor","Micrurus pyrrhocryptus","Reptilia","Squamata","Elapidae","faunabr",NA
"Mimus gilvus","Mimus gilvus","Turdus gilvus","Aves","Passeriformes","Mimidae","faunabr",NA
"Mionectes oleagineus","Mionectes oleagineus",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Molossus melini","Molossus melini",NA,"Mammalia","Chiroptera","Molossidae","faunabr",NA
"Molossus pretiosus","Molossus pretiosus",NA,"Mammalia","Chiroptera","Molossidae","faunabr",NA
"Monasa morphoeus","Monasa morphoeus",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Monasa nigrifrons","Monasa nigrifrons","Bucco nigrifrons","Aves","Galbuliformes","Bucconidae","faunabr",NA
"Monodelphis dimidiata","Monodelphis dimidiata","Didelphys dimidiata","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Monodelphis domestica","Monodelphis domestica","Didelphys domestica","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Monodelphis kunsi","Monodelphis kunsi",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Monodelphis scalops","Monodelphis scalops",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Monodelphis unistriata","Monodelphis unistriata","Didelphys unistriata","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Muscisaxicola capistratus","Muscisaxicola capistratus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Mustela africana","Mustela africana",NA,"Mammalia","Carnivora","Mustelidae","faunabr",NA
"Mustelirallus albicollis","Porzana albicollis","Rallus albicollis","Aves","Gruiformes","Rallidae","faunabr",NA
"Myiarchus tuberculifer","Myiarchus tuberculifer",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Myiopagis gaimardii","Myiopagis gaimardii",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Myiothlypis leucophrys","Myiothlypis leucophrys","Basileuterus leucophrys","Aves","Passeriformes","Parulidae","faunabr",NA
"Myiozetetes luteiventris","Myiozetetes luteiventris",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Myotis pampa","Myotis pampa",NA,"Mammalia","Chiroptera","Vespertilionidae","faunabr",NA
"Myrmoborus leucophrys","Myrmoborus leucophrys","Pithys leucophrys","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmoderus loricatus","Myrmeciza loricata",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmoderus ruficauda","Myrmeciza ruficauda",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmoderus squamosus","Myrmeciza squamosa",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmophylax atrothorax","Myrmeciza atrothorax","Formicarius atrothorax","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmorchilus strigilatus","Myrmorchilus strigilatus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmotherula axillaris","Myrmotherula axillaris","Myrmothera axillaris","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmotherula fluminensis","Myrmotherula fluminensis",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmotherula longipennis","Myrmotherula longipennis",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmotherula menetriesii","Myrmotherula menetriesii",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmotherula snowi","Myrmotherula snowi",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Myrmotherula urosticta","Myrmotherula urosticta",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Nannochordeiles pusillus","Nannochordeiles pusillus septentrionalis",NA,"Aves","Caprimulgiformes","Caprimulgidae","faunabr",NA
"Nannopterum brasilianus","Phalacrocorax brasilianus","Procellaria brasiliana","Aves","Suliformes","Phalacrocoracidae","faunabr",NA
"Nasica longirostris","Nasica longirostris",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Natalus macrourus","Natalus macrourus","Spectrellum macrourum","Mammalia","Chiroptera","Natalidae","faunabr",NA
"Nectomys rattus","Nectomys rattus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Nemosia rourei","Nemosia rourei",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Nengetus cinereus","Xolmis cinereus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Neochen jubata","Neochen jubata","Anser jubatus","Aves","Anseriformes","Anatidae","faunabr",NA
"Neomorphus geoffroyi","Neomorphus geoffroyi","Coccyzus geoffroyi","Aves","Cuculiformes","Cuculidae","faunabr",NA
"Neopelma aurifrons","Neopelma aurifrons",NA,"Aves","Passeriformes","Pipridae","faunabr",NA
"Neopelma pallescens","Neopelma pallescens",NA,"Aves","Passeriformes","Pipridae","faunabr",NA
"Neoplatymops mattogrossensis","Neoplatymops mattogrossensis","Molossops mattogrossensis","Mammalia","Chiroptera","Molossidae","faunabr",NA
"Nonnula amaurocephala","Nonnula amaurocephala",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Nonnula ruficapilla","Nonnula ruficapilla",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Notharchus hyperrhynchus","Notharchus hyperrhynchus",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Notharchus tectus","Notharchus tectus","Bucco tectus","Aves","Galbuliformes","Bucconidae","faunabr",NA
"Nothura boraquira","Nothura boraquira","Tinamus boraquira","Aves","Tinamiformes","Tinamidae","faunabr",NA
"Nothura minor","Nothura minor",NA,"Aves","Tinamiformes","Tinamidae","faunabr",NA
"Nyctibius grandis","Nyctibius grandis","Caprimulgus grandis","Aves","Nyctibiiformes","Nyctibiidae","faunabr",NA
"Nyctibius leucopterus","Nyctibius leucopterus","Caprimulgus leucopterus","Aves","Nyctibiiformes","Nyctibiidae","faunabr",NA
"Nyctiprogne leucopyga","Nyctiprogne leucopyga","Caprimulgus leucopygus","Aves","Caprimulgiformes","Caprimulgidae","faunabr",NA
"Nyctiprogne vielliardi","Nyctiprogne vielliardi","Chordeiles vielliardi","Aves","Caprimulgiformes","Caprimulgidae","faunabr",NA
"Nystalus maculatus","Nystalus maculatus",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Nystalus striatipectus","Nystalus striatipectus",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Nystalus torridus","Nystalus striolatus torridus",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Oecomys bicolor","Oecomys bicolor",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oecomys catherinae","Oecomys catherinae",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oecomys cleberi","Oecomys cleberi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oecomys franciscorum","Oecomys franciscorum",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oecomys mamorae","Oecomys mamorae","Oryzomys mamorae","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oecomys paricola","Oecomys paricola",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oecomys trinitatis","Oecomys trinitatis",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oligoryzomys chacoensis","Oligoryzomys chacoensis","Oryzomys chacoensis","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oligoryzomys mattogrossae","Oligoryzomys mattogrossae",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oligoryzomys moojeni","Oligoryzomys moojeni",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oligoryzomys rupestris","Oligoryzomys rupestris",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Oligoryzomys stramineus","Oligoryzomys stramineus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Onychoprion fuscatus","Onychoprion fuscatus","Sterna fuscata","Aves","Charadriiformes","Sternidae","faunabr",NA
"Onychorhynchus swainsoni","Onychorhynchus coronatus","Muscicapa coronata","Aves","Passeriformes","Onychorhynchidae","faunabr",NA
"Opisthocomus hoazin","Opisthocomus hoazin",NA,"Aves","Opisthocomiformes","Opisthocomidae","faunabr",NA
"Oreopholus ruficollis","Oreopholus ruficollis","Charadrius ruficollis","Aves","Charadriiformes","Charadriidae","faunabr",NA
"Ornithion inerme","Ornithion inerme",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Ortalis araucuan","Ortalis araucuan","Penelope araucuan","Aves","Galliformes","Cracidae","faunabr",NA
"Ortalis canicollis","Ortalis canicollis","Penelope canicollis","Aves","Galliformes","Cracidae","faunabr",NA
"Ortalis guttata","Ortalis guttata;Ortalis guttata subaffinis;Ortalis guttata colombiana;Ortalis guttata columbiana;Ortalis guttata guttata;Ortalis guttata squamata;Ortalis guttata araucuan;Ortalis guttata remota","Penelope guttata","Aves","Galliformes","Cracidae","faunabr",NA
"Ortalis remota","Ortalis remota",NA,"Aves","Galliformes","Cracidae","faunabr",NA
"Ortalis superciliaris","Ortalis superciliaris",NA,"Aves","Galliformes","Cracidae","faunabr",NA
"Orthopsittaca manilatus","Orthopsittaca manilata","Psittacus manilatus","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Otaria flavescens","Otaria byronia",NA,"Mammalia","Carnivora","Otariidae","faunabr",NA
"Oxybelis aeneus","Oxybelis aeneus","Dryinus aeneus","Reptilia","Squamata","Colubridae","faunabr",NA
"Oxybelis fulgidus","Oxybelis fulgidus","Coluber fulgidus","Reptilia","Squamata","Colubridae","faunabr",NA
"Oxymycterus caparaoe","Oxymycterus caparoae",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Pachyramphus rufus","Pachyramphus rufus","Muscicapa rufa","Aves","Passeriformes","Tityridae","faunabr",NA
"Paleosuchus palpebrosus","Paleosuchus palpebrosus","Crocodilus palpebrosus","Reptilia","Crocodylia","Alligatoridae","faunabr",NA
"Paragallinula angulata","Gallinula angulata",NA,"Aves","Gruiformes","Rallidae","faunabr",NA
"Parkerthraustes humeralis","Parkerthraustes humeralis","Pytilus humeralis","Aves","Passeriformes","Thraupidae","faunabr",NA
"Paroaria baeri","Paroaria baeri",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Passalites nemorivagus","Mazama gouazoubira","Cervus gouazoubira","Mammalia","Artiodactyla","Cervidae","faunabr","Mazama nemorivaga"
"Pelagodroma marina","Pelagodroma marina","Procellaria marina","Aves","Procellariiformes","Hydrobatidae","faunabr",NA
"Penelope jacucaca","Penelope jacucaca",NA,"Aves","Galliformes","Cracidae","faunabr",NA
"Penelope ochrogaster","Penelope ochrogaster",NA,"Aves","Galliformes","Cracidae","faunabr",NA
"Penelope pileata","Penelope pileata",NA,"Aves","Galliformes","Cracidae","faunabr",NA
"Periporphyrus erythromelas","Periporphyrus erythromelas","Loxia erythromelas","Aves","Passeriformes","Cardinalidae","faunabr",NA
"Phacellodomus ferrugineigula","Phacellodomus erythrophthalmus",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Phacellodomus sibilatrix","Phacellodomus sibilatrix",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Phaenomys ferrugineus","Phaenomys ferrugineus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Phaethon aethereus","Phaethon aethereus",NA,"Aves","Phaethontiformes","Phaethontidae","faunabr",NA
"Phaethon lepturus","Phaethon lepturus",NA,"Aves","Phaethontiformes","Phaethontidae","faunabr",NA
"Phaethornis idaliae","Phaethornis idaliae","Trochilus idaliae","Aves","Apodiformes","Trochilidae","faunabr",NA
"Phaethornis margarettae","Phaethornis malaris margarettae",NA,"Aves","Apodiformes","Trochilidae","faunabr",NA
"Phaethornis subochraceus","Phaethornis subochraceus",NA,"Aves","Apodiformes","Trochilidae","faunabr",NA
"Phaethornis superciliosus","Phaethornis superciliosus","Trochilus superciliosus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Phalotris concolor","Phalotris concolor",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Phalotris labiomaculatus","Phalotris labiomaculatus",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Phalotris lativittatus","Phalotris lativittatus",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Phalotris multipunctatus","Phalotris multipunctatus",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Phalotris nasutus","Phalotris nasutus","Elapomorphus nasutus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Phalotris reticulatus","Phalotris reticulatus","Elapomorphus reticulatus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Phasmahyla lisbella","Phasmahyla lisbella",NA,"Amphibia","Anura","Hylidae","faunabr",NA
"Pheugopedius coraya","Pheugopedius coraya","Turdus coraya","Aves","Passeriformes","Troglodytidae","faunabr",NA
"Pheugopedius genibarbis","Pheugopedius genibarbis","Thryothorus genibarbis","Aves","Passeriformes","Troglodytidae","faunabr",NA
"Philander canus","Philander mondolfii",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr","Philander mondolfi"
"Philander opossum","Philander opossum","Didelphis opossum","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Philodryas viridissima","Chlorosoma viridissimum","Coluber viridissimus","Reptilia","Squamata","Dipsadidae","faunabr","Coluber viridissimus"
"Philohydor lictor","Pitangus lictor","Lanius lictor","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Philydor erythrocercum","Philydor erythrocercum","Anabates erythrocercus","Aves","Passeriformes","Furnariidae","faunabr",NA
"Philydor pyrrhodes","Philydor pyrrhodes","Anabates pyrrhodes","Aves","Passeriformes","Furnariidae","faunabr",NA
"Phoenicircus carnifex","Phoenicircus carnifex","Lanius carnifex","Aves","Passeriformes","Cotingidae","faunabr",NA
"Phoenicircus nigricollis","Phoenicircus nigricollis",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Phrynomedusa dryade","Phrynomedusa dryade",NA,"Amphibia","Anura","Hylidae","faunabr",NA
"Phyllomyias reiseri","Phyllomyias reiseri",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Phyllomys blainvilii","Phyllomys blainvilii","Nelomys blainvilii","Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys brasiliensis","Phyllomys brasiliensis",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys centralis","Phyllomys centralis",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys kerri","Phyllomys kerri",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys lamarum","Phyllomys lamarum",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys lundi","Phyllomys lundi",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys mantiqueirensis","Phyllomys mantiqueirensis",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys pattoni","Phyllomys pattoni",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys thomasi","Phyllomys thomasi",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phyllomys unicolor","Phyllomys unicolor",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Phylloscartes beckeri","Phylloscartes beckeri",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Phylloscartes ceciliae","Phylloscartes ceciliae",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Phylloscartes roquettei","Phylloscartes roquettei",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Phyllostomus elongatus","Phyllostomus elongatus","Phyllostoma elongatum","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Piculus chrysochloros","Piculus chrysochloros","Picus chrysochloros","Aves","Piciformes","Picidae","faunabr",NA
"Piculus polyzonus","Piculus chrysochloros polyzonus",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Picumnus exilis","Picumnus exilis","Picus exilis","Aves","Piciformes","Picidae","faunabr",NA
"Picumnus limae","Picumnus limae",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Picumnus pernambucensis","Picumnus exilis pernambucensis",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Picumnus pygmaeus","Picumnus pygmaeus",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Pionites leucogaster","Pionites leucogaster",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pionus menstruus","Pionus menstruus","Psittacus menstruus","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pipa carvalhoi","Pipa carvalhoi","Protopipa carvalhoi","Amphibia","Anura","Pipidae","faunabr",NA
"Pipra aureola","Pipra aureola",NA,"Aves","Passeriformes","Pipridae","faunabr",NA
"Pithecopus ayeaye","Pithecopus ayeaye",NA,"Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus azureus","Pithecopus azureus",NA,"Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus centralis","Pithecopus centralis","Phyllomedusa centralis","Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus gonzagai","Pithecopus gonzagai",NA,"Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus hypochondrialis","Pithecopus hypochondrialis","Hyla hypochondrialis","Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus nordestinus","Pithecopus nordestinus","Phyllomedusa nordestina","Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus oreades","Pithecopus oreades","Phyllomedusa oreades","Amphibia","Anura","Hylidae","faunabr",NA
"Pithecopus rohdei","Pithecopus rohdei","Phyllomedusa rohdei","Amphibia","Anura","Hylidae","faunabr",NA
"Platyrinchus saturatus","Platyrinchus saturatus",NA,"Aves","Passeriformes","Platyrinchidae","faunabr",NA
"Platyrrhinus incarum","Platyrrhinus incarum","Vampyrops zarhinus","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Podager nacunda","Chordeiles nacunda","Caprimulgus nacunda","Aves","Caprimulgiformes","Caprimulgidae","faunabr",NA
"Podicephorus major","Podiceps major","Colymbus major","Aves","Podicipediformes","Podicipedidae","faunabr",NA
"Poecilotriccus fumifrons","Poecilotriccus fumifrons","Todirostrum fumifrons","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Poecilotriccus sylvia","Poecilotriccus sylvia","Todus sylvia","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Polioptila atricapilla","Polioptila plumbea atricapilla",NA,"Aves","Passeriformes","Polioptilidae","faunabr",NA
"Polioptila innotata","Polioptila plumbea innotata",NA,"Aves","Passeriformes","Polioptilidae","faunabr",NA
"Polioptila parvirostris","Polioptila plumbea parvirostris",NA,"Aves","Passeriformes","Polioptilidae","faunabr",NA
"Polioptila plumbea","Polioptila plumbea","Todus plumbeus","Aves","Passeriformes","Polioptilidae","faunabr",NA
"Polystictus superciliaris","Polystictus superciliaris",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Porphyriops melanops","Gallinula melanops",NA,"Aves","Gruiformes","Rallidae","faunabr",NA
"Porphyrospiza caerulescens","Porphyrospiza caerulescens","Tanagra caerulescens","Aves","Passeriformes","Thraupidae","faunabr",NA
"Potos flavus","Potos flavus","Lemur flavus","Mammalia","Carnivora","Procyonidae","faunabr",NA
"Primolius auricollis","Primolius auricollis","Ara auricollis","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Procnias averano","Procnias averano",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Proechimys longicaudatus","Proechimys longicaudatus",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Proechimys roberti","Proechimys roberti",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Pseudastur albicollis","Leucopternis albicollis","Falco albicollis","Aves","Accipitriformes","Accipitridae","faunabr",NA
"Pseudastur polionotus","Leucopternis polionotus",NA,"Aves","Accipitriformes","Accipitridae","faunabr",NA
"Pseudoeryx plicatilis","Pseudoeryx plicatilis","Coluber plicatilis","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Pseudoleistes virescens","Pseudoleistes virescens",NA,"Aves","Passeriformes","Icteridae","faunabr",NA
"Pseudopipra pipra","Pipra pipra","Parus pipra","Aves","Passeriformes","Pipridae","faunabr",NA
"Pseudoryzomys simplex","Pseudoryzomys simplex",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Pseudoseisura cristata","Pseudoseisura cristata",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Psomophis genimaculatus","Psomophis genimaculatus","Liophis genimaculata","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Psomophis joberti","Psomophis joberti","Enicognathus joberti","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Psomophis obtusus","Psomophis obtusus","Rhadinaea obtusa","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Psophia napensis","Psophia crepitans napensis",NA,"Aves","Gruiformes","Psophiidae","faunabr",NA
"Psophia obscura","Psophia obscura",NA,"Aves","Gruiformes","Psophiidae","faunabr",NA
"Pteroglossus bitorquatus","Pteroglossus bitorquatus",NA,"Aves","Piciformes","Ramphastidae","faunabr",NA
"Pteroglossus inscriptus","Pteroglossus inscriptus",NA,"Aves","Piciformes","Ramphastidae","faunabr",NA
"Puffinus lherminieri","Puffinus lherminieri",NA,"Aves","Procellariiformes","Procellariidae","faunabr",NA
"Pygiptila stellaris","Pygiptila stellaris","Thamnophilus stellaris","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Pygochelidon melanoleuca","Atticora melanoleuca","Hirundo melanoleuca","Aves","Passeriformes","Hirundinidae","faunabr",NA
"Pyriglena atra","Pyriglena atra",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Pyriglena leuconota","Pyriglena leuconota",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Pyriglena pernambucensis","Pyriglena leuconota pernambucensis",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Pyrilia vulturina","Pionopsitta vulturina",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pyrrhura coerulescens","Sporophila caerulescens","Pyrrhula caerulescens","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pyrrhura cruentata","Pyrrhura cruentata",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pyrrhura devillei","Pyrrhura devillei",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pyrrhura griseipectus","Pyrrhura griseipectus",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Pyrrhura leucotis","Pyrrhura leucotis",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
